,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
365,600036.SH,20180327,27.8645,27.9965,26.8744,27.0819,27.4496,-0.36769999999999925,-1.3395,805431.33,2327605.805
364,600036.SH,20180328,26.7801,27.7608,26.6387,27.063,27.0819,-0.018900000000002137,-0.0698,787978.73,2274733.768
363,600036.SH,20180329,27.0913,28.0908,26.5915,27.6382,27.063,0.5752000000000024,2.1254,679494.17,1972338.359
362,600036.SH,20180330,27.6948,27.8174,27.327,27.4308,27.6382,-0.2073999999999998,-0.7504,356753.22,1039897.303
361,600036.SH,20180402,27.3459,27.9211,27.2516,27.3553,27.4308,-0.07550000000000168,-0.2752,477386.97,1396102.301
360,600036.SH,20180403,27.2139,27.3176,26.9216,27.1667,27.3553,-0.188600000000001,-0.6894,302253.98,868475.037
359,600036.SH,20180404,27.2327,27.6005,26.9876,27.1196,27.1667,-0.047100000000000364,-0.1734,377821.79,1095425.767
358,600036.SH,20180409,27.2139,27.5062,27.0064,27.195,27.1196,0.07540000000000191,0.278,277424.11,801133.246
357,600036.SH,20180410,27.195,28.5906,26.9781,28.5623,27.195,1.3673000000000002,5.0278,586014.6,1731213.197
356,600036.SH,20180411,28.6095,29.1847,28.336,28.7509,28.5623,0.188600000000001,0.6603,560433.06,1709631.521
355,600036.SH,20180412,28.7603,28.7603,28.0908,28.2228,28.7509,-0.528100000000002,-1.8368,337674.98,1015562.874
354,600036.SH,20180413,28.336,28.6189,27.8362,27.8551,28.2228,-0.36769999999999925,-1.3028,260108.73,775003.205
353,600036.SH,20180416,27.5345,27.5439,26.3558,26.5067,27.8551,-1.3484000000000016,-4.8408,914627.03,2595816.036
352,600036.SH,20180417,26.6387,26.6764,26.0069,26.1106,26.5067,-0.396099999999997,-1.4943,610749.71,1702375.258
351,600036.SH,20180418,26.667,26.733,25.7994,26.5349,26.1106,0.4242999999999988,1.625,659779.7,1841953.006
350,600036.SH,20180419,26.5727,27.1102,26.4218,26.6292,26.5349,0.0943000000000005,0.3554,424328.62,1205816.213
349,600036.SH,20180420,26.4501,26.6387,26.2143,26.601,26.6292,-0.02820000000000178,-0.1059,397994.55,1116482.35
348,600036.SH,20180423,26.3369,26.8273,26.3181,26.6764,26.601,0.07540000000000191,0.2834,301521.8,851443.561
347,600036.SH,20180424,26.6858,27.8174,26.6858,27.2139,26.6764,0.5374999999999979,2.0149,670264.12,1951397.596
346,600036.SH,20180425,27.2139,27.4308,26.9781,27.1762,27.2139,-0.0376999999999974,-0.1385,251675.46,726053.661
